Country,Donor,Sector,Year,Amount_USD,Region
Philippines,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,267.75,Southeast Asia
India,International Bank for Reconstruction and Development,II.3.a. Energy Policy,2023,262.43,South Asia
India,Japan,II.1. Transport & Storage,2023,259.76,South Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,259.45,South Asia
Indonesia,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,256.33,Southeast Asia
Bangladesh,Islamic Development Bank,I.6. Other Social Infrastructure & Services,2023,254.29,South Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,250.00,South Asia
Philippines,International Finance Corporation,II.4. Banking & Financial Services,2023,250.00,Southeast Asia
Pakistan,Asian Infrastructure Investment Bank,VI.1. General Budget Support,2023,250.00,South Asia
Nigeria,International Development Association,"II.3.b. Energy generation, renewable sources",2023,248.64,Sub-Saharan Africa
Indonesia,Asian Development Bank,IV.1. General Environment Protection,2023,246.68,Southeast Asia
Ethiopia,International Development Association,II.3.a. Energy Policy,2023,246.31,Sub-Saharan Africa
Uzbekistan,Asian Infrastructure Investment Bank,"II.3.c. Energy generation, non-renewable sources",2023,245.00,Central Asia
Indonesia,Asian Development Bank,III.2.a. Industry,2023,241.66,Southeast Asia
Indonesia,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,241.66,Southeast Asia
Pakistan,Saudi Arabia,"II.3.b. Energy generation, renewable sources",2023,240.33,South Asia
Uzbekistan,Asian Development Bank,II.1. Transport & Storage,2023,240.00,Central Asia
India,Japan,II.1. Transport & Storage,2023,237.73,South Asia
India,Japan,II.1. Transport & Storage,2023,237.37,South Asia
Ethiopia,International Development Association,II.1. Transport & Storage,2023,232.74,Sub-Saharan Africa
Sri Lanka,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,225.05,Other
Philippines,International Bank for Reconstruction and Development,II.4. Banking & Financial Services,2023,225.00,Southeast Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,222.34,South Asia
Bangladesh,Asian Development Bank,I.1.d. Post-Secondary Education,2023,219.00,South Asia
Bangladesh,Japan,II.1. Transport & Storage,2023,217.66,South Asia
India,Germany,II.3.f. Energy distribution,2023,216.26,South Asia
India,Germany,II.3.a. Energy Policy,2023,216.26,South Asia
India,Germany,II.1. Transport & Storage,2023,216.26,South Asia
India,Japan,II.1. Transport & Storage,2023,214.93,South Asia
Philippines,Japan,II.1. Transport & Storage,2023,214.64,Southeast Asia
Indonesia,Japan,IV.2. Other Multisector,2023,213.51,Southeast Asia
Bangladesh,Japan,I.5.a. Government & Civil Society-general,2023,213.51,South Asia
Indonesia,Japan,III.3.a. Trade Policies & Regulations,2023,213.51,Southeast Asia
Philippines,Japan,IV.2. Other Multisector,2023,213.51,Southeast Asia
Bangladesh,International Development Association,I.6. Other Social Infrastructure & Services,2023,210.00,South Asia
Bangladesh,International Development Association,I.1.c. Secondary Education,2023,204.39,South Asia
Pakistan,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,201.00,South Asia
Ethiopia,United States,VIII.1. Emergency Response,2023,200.76,Sub-Saharan Africa
Pakistan,Asian Development Bank,I.1.c. Secondary Education,2023,200.75,South Asia
Philippines,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,200.00,Southeast Asia
Uzbekistan,Asian Development Bank,II.3.f. Energy distribution,2023,200.00,Central Asia
Philippines,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,200.00,Southeast Asia
Philippines,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,200.00,Southeast Asia
India,Asian Development Bank,II.3.f. Energy distribution,2023,200.00,South Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,200.00,South Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,200.00,South Asia
Pakistan,Asian Development Bank,II.3.f. Energy distribution,2023,199.75,South Asia
Bangladesh,France,IV.2. Other Multisector,2023,198.99,South Asia
Ethiopia,International Development Association,"I.2.a. Health, General",2023,195.00,Sub-Saharan Africa
Philippines,Asian Development Bank,III.1.a. Agriculture,2023,195.00,Southeast Asia
India,United Kingdom,III.1.a. Agriculture,2023,194.70,South Asia
Pakistan,France,II.3.f. Energy distribution,2023,194.64,South Asia
Bangladesh,Korea,I.4. Water Supply & Sanitation,2023,191.44,South Asia
Bangladesh,Asian Development Bank,IV.2. Other Multisector,2023,190.00,South Asia
Pakistan,International Development Association,I.6. Other Social Infrastructure & Services,2023,189.90,South Asia
Bangladesh,France,I.4. Water Supply & Sanitation,2023,189.23,South Asia
India,Japan,II.1. Transport & Storage,2023,189.21,South Asia
India,International Bank for Reconstruction and Development,I.1.c. Secondary Education,2023,188.21,South Asia
Philippines,International Bank for Reconstruction and Development,"II.3.b. Energy generation, renewable sources",2023,187.50,Southeast Asia
Philippines,International Bank for Reconstruction and Development,II.1. Transport & Storage,2023,187.50,Southeast Asia
Nigeria,International Development Association,II.3.f. Energy distribution,2023,180.80,Sub-Saharan Africa
Bangladesh,International Development Association,II.3.a. Energy Policy,2023,180.59,South Asia
Indonesia,International Bank for Reconstruction and Development,II.3.f. Energy distribution,2023,180.50,Southeast Asia
Nigeria,International Development Association,"II.3.b. Energy generation, renewable sources",2023,177.60,Sub-Saharan Africa
Pakistan,Islamic Development Bank,IV.2. Other Multisector,2023,177.28,South Asia
Bangladesh,IMF (Concessional Trust Funds),VI.1. General Budget Support,2023,176.10,South Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,175.00,South Asia
Sri Lanka,International Development Association,I.6. Other Social Infrastructure & Services,2023,174.04,Other
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,172.50,South Asia
Pakistan,International Development Association,I.5.a. Government & Civil Society-general,2023,172.09,South Asia
India,International Bank for Reconstruction and Development,I.1.d. Post-Secondary Education,2023,170.00,South Asia
Bangladesh,Asian Development Bank,"I.2.a. Health, General",2023,168.25,South Asia
Bangladesh,Asian Development Bank,"I.2.a. Health, General",2023,168.22,South Asia
Bangladesh,Asian Development Bank,II.1. Transport & Storage,2023,168.01,South Asia
Uzbekistan,Japan,"II.3.c. Energy generation, non-renewable sources",2023,162.92,Central Asia
Indonesia,France,IV.2. Other Multisector,2023,162.20,Southeast Asia
Philippines,France,IV.1. General Environment Protection,2023,162.20,Southeast Asia
Ethiopia,International Finance Corporation,II.2. Communications,2023,160.00,Sub-Saharan Africa
Philippines,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,159.38,Southeast Asia
Bangladesh,Asian Infrastructure Investment Bank,II.4. Banking & Financial Services,2023,156.00,South Asia
Kenya,International Development Association,II.3.a. Energy Policy,2023,153.50,Sub-Saharan Africa
India,Germany,II.3.a. Energy Policy,2023,151.38,South Asia
India,International Finance Corporation,II.4. Banking & Financial Services,2023,150.00,South Asia
Philippines,International Bank for Reconstruction and Development,III.2.a. Industry,2023,150.00,Southeast Asia
Sri Lanka,International Development Association,II.4. Banking & Financial Services,2023,150.00,Other
Indonesia,International Bank for Reconstruction and Development,I.2.b. Basic Health,2023,149.87,Southeast Asia
Kenya,International Development Association,II.3.a. Energy Policy,2023,149.14,Sub-Saharan Africa
Kenya,International Development Association,II.3.a. Energy Policy,2023,149.14,Sub-Saharan Africa
India,International Bank for Reconstruction and Development,I.4. Water Supply & Sanitation,2023,148.90,South Asia
Ethiopia,United States,VIII.1. Emergency Response,2023,148.26,Sub-Saharan Africa
India,Asian Development Bank,"II.3.b. Energy generation, renewable sources",2023,147.13,South Asia
Bangladesh,International Development Association,IV.1. General Environment Protection,2023,146.21,South Asia
India,United Kingdom,III.2.a. Industry,2023,146.07,South Asia
Bangladesh,International Development Association,II.4. Banking & Financial Services,2023,145.48,South Asia
Uzbekistan,Asian Infrastructure Investment Bank,"II.3.b. Energy generation, renewable sources",2023,145.00,Central Asia
Uzbekistan,Korea,I.1.c. Secondary Education,2023,144.85,Central Asia
India,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,143.95,South Asia
Pakistan,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,143.69,South Asia
Nigeria,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,141.89,Sub-Saharan Africa
Sri Lanka,International Development Association,II.4. Banking & Financial Services,2023,141.61,Other
Indonesia,International Bank for Reconstruction and Development,III.1.c. Fishing,2023,140.86,Southeast Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,140.83,South Asia
India,Germany,II.1. Transport & Storage,2023,140.57,South Asia
India,Germany,"II.3.b. Energy generation, renewable sources",2023,140.57,South Asia
India,International Bank for Reconstruction and Development,I.4. Water Supply & Sanitation,2023,139.50,South Asia
Nigeria,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,137.91,Sub-Saharan Africa
India,Germany,II.1. Transport & Storage,2023,137.87,South Asia
India,Japan,II.1. Transport & Storage,2023,135.82,South Asia
India,International Finance Corporation,II.1. Transport & Storage,2023,134.02,South Asia
Kenya,International Development Association,I.4. Water Supply & Sanitation,2023,133.50,Sub-Saharan Africa
India,International Finance Corporation,III.2.a. Industry,2023,130.00,South Asia
Kenya,Korea,I.5.a. Government & Civil Society-general,2023,129.99,Sub-Saharan Africa
Pakistan,France,"II.3.b. Energy generation, renewable sources",2023,129.76,South Asia
Nigeria,International Development Association,I.1.c. Secondary Education,2023,129.76,Sub-Saharan Africa
Pakistan,Asian Development Bank,II.1. Transport & Storage,2023,129.60,South Asia
Kenya,International Development Association,IV.2. Other Multisector,2023,129.14,Sub-Saharan Africa
Kenya,International Development Association,IV.2. Other Multisector,2023,129.14,Sub-Saharan Africa
Indonesia,Asian Development Bank,"I.1.a. Education, Level Unspecified",2023,128.16,Southeast Asia
India,Japan,III.1.a. Agriculture,2023,127.98,South Asia
Uzbekistan,Asian Development Bank,II.3.f. Energy distribution,2023,125.00,Central Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,125.00,South Asia
Sri Lanka,International Development Association,I.5.a. Government & Civil Society-general,2023,123.91,Other
Kenya,International Development Association,III.2.a. Industry,2023,123.81,Sub-Saharan Africa
India,Asian Development Bank,II.1. Transport & Storage,2023,123.31,South Asia
India,International Finance Corporation,II.4. Banking & Financial Services,2023,123.04,South Asia
Kenya,International Development Association,"I.2.a. Health, General",2023,120.00,Sub-Saharan Africa
Indonesia,France,II.2. Communications,2023,118.94,Southeast Asia
Mongolia,Asian Development Bank,II.1. Transport & Storage,2023,118.80,East Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,118.76,South Asia
Ethiopia,International Development Association,I.6. Other Social Infrastructure & Services,2023,118.75,Sub-Saharan Africa
India,Germany,"II.3.b. Energy generation, renewable sources",2023,117.85,South Asia
Indonesia,International Bank for Reconstruction and Development,III.1.a. Agriculture,2023,116.75,Southeast Asia
Indonesia,Asian Infrastructure Investment Bank,III.1.a. Agriculture,2023,116.75,Southeast Asia
Ethiopia,Global Fund,I.3. Population Policies/Programmes & Reproductive Health,2023,116.73,Sub-Saharan Africa
India,Asian Development Bank,II.1. Transport & Storage,2023,115.75,South Asia
Ethiopia,International Development Association,III.1.a. Agriculture,2023,115.26,Sub-Saharan Africa
Ethiopia,International Development Association,I.6. Other Social Infrastructure & Services,2023,115.26,Sub-Saharan Africa
Nigeria,International Development Association,I.6. Other Social Infrastructure & Services,2023,111.43,Sub-Saharan Africa
Philippines,Korea,II.1. Transport & Storage,2023,111.43,Southeast Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.18,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.18,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.18,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,IMF Resilience and Sustainability Trust,VI.1. General Budget Support,2023,111.16,South Asia
Bangladesh,Asian Development Bank,II.1. Transport & Storage,2023,110.76,South Asia
Sri Lanka,Asian Development Bank,II.4. Banking & Financial Services,2023,110.00,Other
Philippines,Asian Development Bank,I.6. Other Social Infrastructure & Services,2023,110.00,Southeast Asia
Ethiopia,International Development Association,II.2. Communications,2023,110.00,Sub-Saharan Africa
Bangladesh,Japan,II.1. Transport & Storage,2023,109.13,South Asia
India,Japan,VI.1. General Budget Support,2023,108.90,South Asia
India,Germany,IV.2. Other Multisector,2023,108.13,South Asia
India,Germany,IV.2. Other Multisector,2023,108.13,South Asia
India,Germany,IV.2. Other Multisector,2023,108.13,South Asia
India,EU Institutions,II.1. Transport & Storage,2023,108.13,South Asia
India,France,II.3.a. Energy Policy,2023,108.13,South Asia
Nigeria,France,I.1.c. Secondary Education,2023,108.13,Sub-Saharan Africa
India,France,IV.2. Other Multisector,2023,108.13,South Asia
Kenya,Korea,III.2.c. Construction,2023,107.73,Sub-Saharan Africa
India,Asian Development Bank,II.1. Transport & Storage,2023,107.66,South Asia
Nigeria,International Development Association,"II.3.b. Energy generation, renewable sources",2023,106.56,Sub-Saharan Africa
Sri Lanka,Asian Development Bank,I.6. Other Social Infrastructure & Services,2023,105.00,Other
Nigeria,International Development Association,III.1.a. Agriculture,2023,102.63,Sub-Saharan Africa
Indonesia,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,102.57,Southeast Asia
Pakistan,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,100.55,South Asia
Pakistan,International Development Association,VIII.2. Reconstruction Relief & Rehabilitation,2023,100.55,South Asia
Nigeria,African Development Bank,III.2.a. Industry,2023,100.20,Sub-Saharan Africa
India,International Finance Corporation,II.4. Banking & Financial Services,2023,100.06,South Asia
Indonesia,International Finance Corporation,II.4. Banking & Financial Services,2023,100.00,Southeast Asia
India,Asian Infrastructure Investment Bank,II.1. Transport & Storage,2023,100.00,South Asia
Bangladesh,Asian Development Bank,I.1.d. Post-Secondary Education,2023,100.00,South Asia
Ethiopia,International Finance Corporation,II.2. Communications,2023,100.00,Sub-Saharan Africa
Pakistan,Asian Development Bank,II.4. Banking & Financial Services,2023,100.00,South Asia
Bangladesh,Asian Development Bank,II.3.a. Energy Policy,2023,100.00,South Asia
Indonesia,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,100.00,Southeast Asia
Mongolia,Asian Infrastructure Investment Bank,VI.1. General Budget Support,2023,100.00,East Asia
Bangladesh,Asian Development Bank,"II.3.c. Energy generation, non-renewable sources",2023,100.00,South Asia
Indonesia,International Bank for Reconstruction and Development,II.2. Communications,2023,100.00,Southeast Asia
India,Asian Infrastructure Investment Bank,II.1. Transport & Storage,2023,100.00,South Asia
India,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,100.00,South Asia
Pakistan,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,100.00,South Asia
Pakistan,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,100.00,South Asia
Nepal,United States,II.5. Business & Other Services,2023,100.00,South Asia
Nepal,Asian Development Bank,IV.2. Other Multisector,2023,100.00,South Asia
India,OPEC Fund for International Development,II.1. Transport & Storage,2023,100.00,South Asia
Philippines,International Bank for Reconstruction and Development,IV.2. Other Multisector,2023,100.00,Southeast Asia
Bangladesh,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,100.00,South Asia
Pakistan,Islamic Development Bank,III.2.b. Mineral Resources & Mining,2023,100.00,South Asia
Kenya,International Bank for Reconstruction and Development,I.5.a. Government & Civil Society-general,2023,100.00,Sub-Saharan Africa
Indonesia,Islamic Development Bank,II.4. Banking & Financial Services,2023,100.00,Southeast Asia
India,Korea,II.1. Transport & Storage,2023,100.00,South Asia
Uzbekistan,Asian Development Bank,I.6. Other Social Infrastructure & Services,2023,99.97,Central Asia
India,International Finance Corporation,II.4. Banking & Financial Services,2023,99.91,South Asia
Ethiopia,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,99.46,Sub-Saharan Africa
Nigeria,African Development Bank,III.2.a. Industry,2023,99.43,Sub-Saharan Africa
Pakistan,Korea,II.1. Transport & Storage,2023,99.08,South Asia
Philippines,Asian Development Bank,"II.3.c. Energy generation, non-renewable sources",2023,99.04,Southeast Asia
Pakistan,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,99.00,South Asia
Kenya,United States,VIII.1. Emergency Response,2023,97.55,Sub-Saharan Africa
Bangladesh,International Development Association,II.3.a. Energy Policy,2023,97.48,South Asia
Ethiopia,International Development Association,I.6. Other Social Infrastructure & Services,2023,97.13,Sub-Saharan Africa
Bangladesh,Japan,"II.3.c. Energy generation, non-renewable sources",2023,97.11,South Asia
Pakistan,International Development Association,III.1.a. Agriculture,2023,96.84,South Asia
India,Asian Development Bank,I.4. Water Supply & Sanitation,2023,96.00,South Asia
Philippines,International Bank for Reconstruction and Development,I.5.a. Government & Civil Society-general,2023,93.75,Southeast Asia
Philippines,International Bank for Reconstruction and Development,I.5.a. Government & Civil Society-general,2023,93.75,Southeast Asia
India,Japan,III.1.a. Agriculture,2023,92.52,South Asia
India,Asian Infrastructure Investment Bank,II.1. Transport & Storage,2023,91.73,South Asia
Nigeria,International Development Association,II.3.f. Energy distribution,2023,91.70,Sub-Saharan Africa
Ethiopia,International Development Association,I.1.c. Secondary Education,2023,91.11,Sub-Saharan Africa
Indonesia,International Bank for Reconstruction and Development,"II.3.b. Energy generation, renewable sources",2023,91.00,Southeast Asia
Indonesia,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,90.91,Southeast Asia
Indonesia,International Bank for Reconstruction and Development,II.4. Banking & Financial Services,2023,90.91,Southeast Asia
Bangladesh,Korea,II.1. Transport & Storage,2023,90.18,South Asia
India,International Finance Corporation,III.2.a. Industry,2023,90.11,South Asia
Ghana,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,90.09,Sub-Saharan Africa
Kenya,International Development Association,I.5.a. Government & Civil Society-general,2023,90.00,Sub-Saharan Africa
Uzbekistan,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,90.00,Central Asia
India,Asian Development Bank,III.2.a. Industry,2023,90.00,South Asia
Indonesia,International Bank for Reconstruction and Development,II.3.a. Energy Policy,2023,90.00,Southeast Asia
Sri Lanka,Asian Development Bank,II.4. Banking & Financial Services,2023,90.00,Other
Nepal,Asian Development Bank,I.5.a. Government & Civil Society-general,2023,90.00,South Asia
Bangladesh,Korea,IV.1. General Environment Protection,2023,90.00,South Asia
Kenya,International Development Association,I.6. Other Social Infrastructure & Services,2023,89.15,Sub-Saharan Africa
Kenya,International Development Association,I.6. Other Social Infrastructure & Services,2023,89.15,Sub-Saharan Africa
Indonesia,Japan,II.1. Transport & Storage,2023,87.55,Southeast Asia
Bangladesh,Asian Development Bank,"II.3.c. Energy generation, non-renewable sources",2023,87.38,South Asia
Uzbekistan,France,I.5.a. Government & Civil Society-general,2023,86.51,Central Asia
Philippines,Asian Development Bank,II.1. Transport & Storage,2023,86.00,Southeast Asia
India,Asian Development Bank,II.1. Transport & Storage,2023,86.00,South Asia
India,Asian Development Bank,I.2.b. Basic Health,2023,86.00,South Asia
India,Norway,"II.3.b. Energy generation, renewable sources",2023,85.59,South Asia
India,International Bank for Reconstruction and Development,VIII.3. Disaster Prevention & Preparedness,2023,85.50,South Asia
Nigeria,International Development Association,II.3.f. Energy distribution,2023,85.30,Sub-Saharan Africa
Bangladesh,Japan,II.5. Business & Other Services,2023,85.25,South Asia
Pakistan,Global Fund,I.2.b. Basic Health,2023,85.25,South Asia
Bangladesh,United States,VIII.1. Emergency Response,2023,85.00,South Asia
Indonesia,Japan,"II.3.b. Energy generation, renewable sources",2023,83.46,Southeast Asia
Indonesia,France,II.4. Banking & Financial Services,2023,83.31,Southeast Asia
Philippines,Japan,II.1. Transport & Storage,2023,82.94,Southeast Asia
India,Germany,II.3.a. Energy Policy,2023,82.73,South Asia
Ghana,International Development Association,III.1.a. Agriculture,2023,82.49,Sub-Saharan Africa
Pakistan,International Finance Corporation,III.2.a. Industry,2023,82.35,South Asia
Nigeria,International Development Association,I.1.c. Secondary Education,2023,82.11,Sub-Saharan Africa
Uzbekistan,International Bank for Reconstruction and Development,I.6. Other Social Infrastructure & Services,2023,81.82,Central Asia
Ethiopia,International Development Association,I.6. Other Social Infrastructure & Services,2023,81.76,Sub-Saharan Africa
India,Asian Infrastructure Investment Bank,II.1. Transport & Storage,2023,81.75,South Asia
Bangladesh,Asian Development Bank,I.1.d. Post-Secondary Education,2023,81.00,South Asia
Philippines,Asian Development Bank,IV.1. General Environment Protection,2023,80.00,Southeast Asia
Kenya,International Development Association,VIII.3. Disaster Prevention & Preparedness,2023,79.53,Sub-Saharan Africa
